36,10,8,Lady Gaga
57,10,9,Serena Williams
10,10,5,Bruce Willis
16,10,9,Ewan McGregor
31,10,5,Sandra Bullock
27,10,7,Keanu Reeves
37,10,9,Nathalie Portman
39,10,8,Scarlett Johansson
6,10,5,Arnold Schwarzeneger
29,10,8,Tom Holland
53,10,9,Keira Knightley
20,10,8,Matt Damon
26,10,8,George Clooney
30,10,5,Tom Cruise
3,10,10,Roger Federer
41,2,5,Ariana Grande
43,1,5,Maria Sharapova
34,10,7,Angelina Jolie
52,0,5,Emma Watson
56,10,7,Reese Witherspoon
42,10,10,Greta Thunberg
2,10,1,George W.Bush
60,0,5,Anya Taylor-Joy
11,0,5,Chris Evans
18,10,5,Jason Statham
50,0,5,Millie Bobby Brown
28,10,8,Dwayne Johnson
38,0,5,Taylor Swift
23,10,8,Ryan Gosling
40,0,5,Gal Gadot
46,10,8,Emma Stone
35,10,9,Adele
49,0,5,Olivia Rodrigo
25,10,8,Robert De Niro
32,10,9,Anne Hathaway
22,10,8,Lebron James
8,10,7,Brad Pitt
13,10,7,Denzel Washighton
58,10,8,Nicole Kidman
24,10,8,Ryan Reynolds
21,7,5,Henri Canvill
47,10,9,Hilary Clinton
1,10,8,Leonardo Di Caprio
33,10,10,Simone Biles
17,10,10,Hugh Jackman
59,10,10,Michelle Obama
7,10,7,Ben Affleck
44,10,7,Cate Blanchett
15,10,8,Harrison Ford
45,10,8,Jennifer Aniston
5,10,8,Lionel Messi
51,0,5,Margot Robbie
4,10,5,Cristiano Ronaldo
9,10,8,Bradley Cooper
48,0,5,Margot Robbie
14,10,8,Daniel Craig
55,10,8,Charlize Theron
54,10,8,Julia Roberts
12,10,8,Daniel Radcliffe
19,10,5,Nicolas Cage
